geo.coordinates

"[ 15.3389, -89.73856000000001 ]"
"[ 30.04591315, -89.97978654000001 ]"
"[ 30.3637967, -91.86690256 ]"
"[ 15.54395485, -88.02310181 ]"
"[ 32.42879437, -92.20258545999999 ]"
"[ 30.67549239, -92.42844085999999 ]"
"[ 32.46749155, -92.08843511000001 ]"
"[ 29.98055488, -90.23752704 ]"
"[ 32.42879735, -92.20257873 ]"
"[ 16.9213722, -89.9027408 ]"
"[ 30.5597845, -93.237437 ]"
"[ 32.42879995, -92.2025718 ]"
"[ 30.04953312, -93.24660363 ]"
"[ 30.01995471, -90.07436566 ]"
"[ 32.42880184, -92.20256673999999 ]"
"[ 32.42880279, -92.20256419 ]"
"[ 29.6717018, -90.7147027 ]"
"[ 32.42893735, -92.20284132 ]"
"[ 31.0672068, -93.25069139999999 ]"
"[ 32.59293849, -92.49832472999999 ]"
"[ 30.37704807, -92.006047 ]"
"[ 29.9598051, -89.96198440000001 ]"
"[ 30.67549239, -92.42844085999999 ]"
"[ 15.54602, -88.02826 ]"
"[ 32.42893735, -92.20284132 ]"
"[ 16.921373, -89.9027402 ]"
"[ 29.91537188, -89.89822028 ]"

"[ 31.52856294, -93.5904754 ]"
"[ 32.42881115, -92.20257433 ]"
"[ 30.03333225, -90.04580881 ]"
"[ 29.86289913, -89.98737680000001 ]"
"[ 30.04591315, -89.97978654000001 ]"

"[ 30.00563794, -90.15735069999999 ]"
"[ 30.03333102, -90.04580907 ]"
"[ 29.97396095, -90.10025023999999 ]"
"[ 30.5597845, -93.237437 ]"
"[ 31.77220412, -93.64431881 ]"
"[ 29.95316, -90.13175 ]"
"[ 29.98060827, -90.2376749 ]"
"[ 29.9598074, -89.9619917 ]"
"[ 29.6716709, -90.714679 ]"
"[ 32.4637413, -92.09381299 ]"
"[ 30.67572295, -92.42876817 ]"
"[ 29.9533347, -90.0663536 ]"
"[ 30.01059864, -90.12996148000001 ]"
"[ 32.55304076, -92.01963800999999 ]"
"[ 32.42897644, -92.20291863 ]"
"[ 31.52857714, -93.5904536 ]"
"[ 29.8540298, -90.09696362 ]"
"[ 30.6667117, -92.2759207 ]"
"[ 30.04591746, -89.97978293 ]"
"[ 29.97288383, -90.04903854 ]"
"[ 29.96412904, -90.04353991000001 ]"
"[ 29.95488091, -90.17494643000001 ]"
"[ 30.02262403, -90.24940462000001 ]"
"[ 29.6716676, -90.7146886 ]"
"[ 30.28872875, -93.07831138 ]"
"[ 15.51863719, -88.03203603999999 ]"
"[ 31.35556615, -93.4098602 ]"
"[ 31.52857714, -93.5904536 ]"
"[ 32.55304076, -92.01963800999999 ]"
"[ 32.42883027, -92.20259907000001 ]"

"[ 32.58790983, -92.39517115 ]"
"[ 30.03333081, -90.04580179 ]"
"[ 30.5597845, -93.237437 ]"
"[ 29.875016, -92.218675 ]"
"[ 32.41426565, -93.69033622000001 ]"
"[ 29.92297426, -89.90467077 ]"
"[ 29.8488014, -89.99001506 ]"
"[ 31.13428973, -92.79537929999999 ]"
"[ 31.52857714, -93.5904536 ]"
"[ 15.45826418, -87.94827398 ]"
"[ 28.86597376, -88.05592181 ]"
"[ 30.03333258, -90.04582626 ]"
"[ 16.91884372, -89.9069027 ]"

"[ 31.45134273, -91.71771699999999 ]"
"[ 30.6667275, -92.2759403 ]"
"[ 31.0672056, -93.2506925 ]"
"[ 32.59301485, -92.49831055999999 ]"

"[ 29.84876889, -89.99006000999999 ]"
"[ 30.5597845, -93.237437 ]"

"[ 29.95862177, -90.06852977 ]"
"[ 30.03333175, -90.04580967 ]"

"[ 30.5597845, -93.237437 ]"
"[ 31.56511956, -93.00713424999999 ]"
"[ 32.3559833, -93.71616019 ]"
"[ 29.9548385, -90.06893855 ]"

"[ 29.95333568, -90.06505966 ]"
"[ 29.84876646, -89.99005889999999 ]"
"[ 32.46379038, -92.0937808 ]"
"[ 29.953422, -90.0876023 ]"
"[ 31.52858745, -93.59044095 ]"
"[ 15.51131, -88.03605 ]"
"[ 29.86175543, -89.98399320999999 ]"
"[ 15.54659, -88.02824 ]"
"[ 29.98889852, -90.18605042 ]"
"[ 31.5650655, -93.00709066 ]"
"[ 30.37700093, -92.00614568 ]"

"[ 14.5966767, -87.8275489 ]"
"[ 32.63398182, -92.40819310000001 ]"
"[ 29.85978492, -89.98457406999999 ]"
"[ 30.5597845, -93.237437 ]"
"[ 29.84876859, -89.99005931000001 ]"
"[ 32.85508848, -92.84972043 ]"
"[ 15.51982212, -87.98379788 ]"
"[ 31.26692085, -92.34544277000001 ]"
"[ 15.03061, -88.29581 ]"
"[ 30.6667272, -92.2759413 ]"

"[ 32.42882373, -92.20258785 ]"
"[ 32.46380006, -92.09381877 ]"
"[ 30.25363917, -91.89522864 ]"
"[ 32.59292458, -92.49796866 ]"
"[ 17.51418285, -88.22449489 ]"
"[ 14.8115624, -90.15901845 ]"
"[ 15.73495595, -88.59135632 ]"
"[ 32.47769425, -93.91683003999999 ]"
"[ 30.46504619, -93.4572525 ]"
"[ 31.26701717, -92.34558407 ]"
"[ 30.5597845, -93.237437 ]"
"[ 31.5286245, -93.59061001000001 ]"

"[ 29.93808437, -90.08233534999999 ]"
"[ 15.4709584, -88.00268800000001 ]"
"[ 30.5597845, -93.237437 ]"
"[ 29.95316, -90.13175 ]"
"[ 14.5966767, -87.8275489 ]"
"[ 29.85978492, -89.98457406999999 ]"
"[ 29.88917269, -90.12036557 ]"
"[ 29.85412577, -90.09709211000001 ]"
"[ 29.93193102, -89.93060061 ]"
"[ 29.87105432, -90.03584303 ]"
"[ 30.02226053, -90.24857851 ]"
"[ 32.59280069, -92.49806212 ]"
"[ 29.953422, -90.0876023 ]"
"[ 15.4709584, -88.00268800000001 ]"
"[ 31.7721488, -93.6443328 ]"
"[ 31.3648099, -92.2867626 ]"
"[ 32.46372659, -92.09382338 ]"
"[ 30.5597845, -93.237437 ]"
"[ 32.42884012, -92.20261936 ]"
"[ 17.51418, -88.2244996 ]"
"[ 32.41431385, -93.69028281999999 ]"
"[ 15.7199369, -88.5957114 ]"

"[ 29.953422, -90.0876023 ]"

"[ 30.3384663, -93.2304941 ]"
"[ 32.47771681, -93.91705987 ]"
"[ 29.85412577, -90.09709211000001 ]"
"[ 30.6667274, -92.27594120000001 ]"
"[ 29.99963666, -90.17792855 ]"

"[ 31.52861583, -93.59048378 ]"
"[ 32.42897078, -92.20290438000001 ]"

"[ 32.58788462, -92.39477071 ]"
"[ 32.85460058, -92.8514796 ]"
"[ 15.4709584, -88.00268800000001 ]"
"[ 30.02390626, -90.73016548 ]"
"[ 32.42880287, -92.20255686 ]"
"[ 32.46373502, -92.09379362999999 ]"
"[ 29.9317129, -89.93038023 ]"
"[ 15.73495463, -88.59135738000001 ]"
"[ 29.98068149, -90.23752517 ]"
"[ 30.02224499, -90.24844938 ]"
"[ 30.03333141, -90.04581068 ]"
"[ 29.97643, -90.06263 ]"
"[ 32.42896747, -92.2028893 ]"
"[ 30.5597845, -93.237437 ]"
"[ 31.26692235, -92.34542897 ]"
"[ 31.54968734, -93.51088638 ]"
"[ 32.42896747, -92.2028893 ]"
"[ 32.4779815, -93.9154628 ]"
"[ 30.5115139, -92.3373453 ]"
"[ 29.93189194, -89.93044747 ]"
"[ 32.57739212, -92.48714857 ]"
"[ 29.953422, -90.0876023 ]"
"[ 29.962295, -90.10194454000001 ]"

"[ 32.85457967, -92.85149323 ]"
"[ 30.5597845, -93.237437 ]"

"[ 15.4409327, -87.92812429999999 ]"
"[ 30.6667268, -92.2759397 ]"
"[ 29.93170605, -89.93037391999999 ]"
"[ 32.53080183, -92.03793363 ]"
"[ 32.55592241, -92.49165910000001 ]"
"[ 32.4141088, -93.69047128 ]"
"[ 29.9589165, -90.0882336 ]"

"[ 32.48047976, -93.89078769 ]"
"[ 29.99981587, -90.17802055 ]"
"[ 29.85987422, -89.98464584 ]"
"[ 32.55867713, -92.02148235999999 ]"
"[ 32.58788784, -92.39477171999999 ]"
"[ 15.4409327, -87.92812429999999 ]"
"[ 30.5115139, -92.3373453 ]"
"[ 29.93192854, -89.93053535 ]"
"[ 29.87377022, -90.03156757000001 ]"
"[ 14.75698, -87.61053 ]"
"[ 15.04098, -88.30224 ]"
"[ 29.953422, -90.0876023 ]"
"[ 32.46376025, -92.09378701 ]"

"[ 29.8541821, -89.9896703 ]"
"[ 15.73433372, -88.59230094 ]"
"[ 30.6667276, -92.27594120000001 ]"
"[ 29.95460259, -90.17453139 ]"
"[ 29.87107281, -90.03566726 ]"
"[ 29.99988485, -90.17788645 ]"
"[ 32.85455963, -92.8515214 ]"
"[ 32.56287412, -92.05657475 ]"
"[ 29.953422, -90.0876023 ]"
"[ 29.93194927, -89.93057537999999 ]"
"[ 29.88316626, -90.03704189 ]"
"[ 32.2764763, -91.7150599 ]"
"[ 32.53080183, -92.03793363 ]"
"[ 29.953422, -90.0876023 ]"
"[ 14.58744, -88.58293999999999 ]"
"[ 30.5597845, -93.237437 ]"
"[ 32.4778044, -93.9164277 ]"
"[ 32.85455685, -92.85151999999999 ]"
"[ 30.15375685, -91.9215052 ]"
"[ 29.84330325, -89.9967309 ]"
"[ 30.0266028, -90.0605527 ]"
"[ 32.55039738, -92.07872541 ]"
"[ 29.85982194, -89.98496003 ]"
"[ 32.46376138, -92.09380821000001 ]"
"[ 32.54773443, -93.49271928 ]"
"[ 30.4571375, -92.36299821 ]"

"[ 29.953422, -90.0876023 ]"
"[ 30.20399535, -92.10123861 ]"
"[ 30.01051834, -90.13002487 ]"
"[ 29.8880927, -90.0543849 ]"
"[ 29.72106017, -91.04745995 ]"
"[ 32.53080183, -92.03793363 ]"
"[ 30.0221761, -90.23885911000001 ]"
"[ 29.93192826, -89.9306107 ]"
"[ 29.99623985, -90.057468 ]"
"[ 30.5115139, -92.3373453 ]"
"[ 30.20401936, -92.10153201 ]"
"[ 29.85978169, -89.9849847 ]"
"[ 14.58800546, -88.58215537 ]"
"[ 29.96743072, -90.06409521 ]"
"[ 29.8880927, -90.0543849 ]"
"[ 32.46376138, -92.09380821000001 ]"

"[ 32.53080183, -92.03793363 ]"
"[ 30.20401799, -92.10155324999999 ]"
"[ 31.52864738, -93.59055569 ]"
"[ 29.79616298, -90.79378668 ]"
"[ 29.95453737, -90.06644482 ]"
"[ 14.75889, -87.61057 ]"
"[ 30.01391175, -90.00211306999999 ]"
"[ 29.72121378, -91.04744112 ]"
"[ 15.3389, -89.73856000000001 ]"
"[ 29.87111287, -90.03568980999999 ]"
"[ 31.1594625, -93.3173223 ]"
"[ 29.93192683, -89.93054764999999 ]"
"[ 30.02227224, -90.23901589 ]"
"[ 29.953422, -90.0876023 ]"
"[ 29.875016, -92.218675 ]"
"[ 30.5597845, -93.237437 ]"
"[ 29.959789, -89.9619903 ]"
"[ 30.94011385, -92.09551519 ]"
"[ 32.54773234, -93.4926423 ]"
"[ 30.5597845, -93.237437 ]"
"[ 30.5115139, -92.3373453 ]"
"[ 30.02337516, -90.08516843 ]"
"[ 29.95864358, -90.06844737999999 ]"
"[ 17.24212, -88.76468 ]"
"[ 32.53060417, -92.03869666999999 ]"
"[ 30.5597845, -93.237437 ]"
"[ 31.40425857, -92.48634196 ]"
"[ 32.46382902, -92.09381869000001 ]"
"[ 30.153776, -91.92177710999999 ]"
"[ 29.93191956, -89.93065325000001 ]"
"[ 29.98109434, -90.22520806999999 ]"
"[ 30.02226178, -90.23889756 ]"
"[ 29.98052336, -90.23744917 ]"
"[ 31.52862475, -93.59051746999999 ]"
"[ 29.8880927, -90.0543849 ]"


"[ 30.5597845, -93.237437 ]"
"[ 29.953422, -90.0876023 ]"
"[ 32.42880437, -92.20255997 ]"
"[ 29.87111128, -90.03563724999999 ]"
"[ 30.0204716, -90.23371715 ]"
"[ 32.56300202, -92.05652305 ]"
"[ 30.02227009, -90.2388959 ]"
"[ 17.24212, -88.76468 ]"
"[ 32.4637602, -92.09370662000001 ]"
"[ 31.77215667, -93.64425989 ]"
"[ 31.3497254, -92.34430879999999 ]"
"[ 32.4637602, -92.09370662000001 ]"
"[ 15.50012019, -88.04632933000001 ]"
"[ 30.0114039, -90.22148328 ]"

"[ 29.98045874, -90.23749175 ]"
"[ 29.953422, -90.0876023 ]"
"[ 30.04592195, -89.97977471999999 ]"
"[ 29.95875426, -90.06838937000001 ]"
"[ 29.94264234, -90.09722898 ]"
"[ 29.596973, -90.6040107 ]"

"[ 30.6667275, -92.2759403 ]"
"[ 29.596973, -90.6040107 ]"
"[ 29.84112748, -89.99814302 ]"
"[ 29.5970178, -90.60404490000001 ]"
"[ 29.953422, -90.0876023 ]"
"[ 32.43345279, -92.09072225 ]"
"[ 29.9437224, -90.12339676000001 ]"
"[ 32.4536596, -91.7116707 ]"

"[ 32.46373078, -92.09371315999999 ]"

"[ 29.93998215, -90.12017455 ]"
"[ 29.96411043, -90.07282214 ]"
"[ 32.47758504, -93.83950986000001 ]"
"[ 30.25357484, -91.89512931 ]"
"[ 14.77862, -89.55207 ]"
"[ 32.44654593, -91.73549417 ]"
"[ 29.67163072, -90.71458659 ]"
"[ 30.0208936, -90.17617009999999 ]"

"[ 15.470876, -88.00171533 ]"
"[ 29.953422, -90.0876023 ]"
"[ 32.47799063, -93.91606828 ]"
"[ 30.34372351, -93.29062144 ]"
"[ 29.86695671, -90.01015472 ]"
"[ 29.9523106, -90.13563455000001 ]"
"[ 29.98697345, -90.20543178 ]"
"[ 29.65484954, -90.70289362 ]"

"[ 29.9640761, -90.0913695 ]"

"[ 32.5818671, -93.27592417 ]"
"[ 32.59296812, -92.49827284 ]"
"[ 29.94376252, -90.12336793 ]"
"[ 32.41419491, -93.69039128999999 ]"
"[ 29.9632416, -90.10536224000001 ]"
"[ 32.54777177, -93.4925482 ]"
"[ 30.5597845, -93.237437 ]"
"[ 30.02496524, -90.08221725 ]"
"[ 32.46373095, -92.09381809999999 ]"
"[ 30.02488841, -90.06550063 ]"
"[ 31.3498496, -92.344308 ]"
"[ 32.56262248, -92.05656311 ]"
"[ 30.6667262, -92.2759406 ]"
"[ 30.0211085, -90.17610120000001 ]"
"[ 30.03331389, -90.04579751 ]"

"[ 30.82851954, -92.32306232000001 ]"

"[ 30.45792634, -92.36541233 ]"
"[ 30.34385028, -93.29057425000001 ]"
"[ 29.953422, -90.0876023 ]"
"[ 30.46166602, -92.38246294 ]"
"[ 30.25361229, -91.89512147000001 ]"
"[ 32.47801166, -93.91706857 ]"
"[ 30.6667272, -92.2759394 ]"

"[ 30.02234859, -90.75191206 ]"
"[ 15.4409327, -87.92812429999999 ]"
"[ 29.8541821, -89.9896703 ]"
"[ 30.0211079, -90.17610329999999 ]"
"[ 32.48317129, -91.80626949000001 ]"
"[ 30.03327397, -90.04580369 ]"
"[ 32.46373095, -92.09381809999999 ]"
"[ 30.5438514, -93.25405259999999 ]"
"[ 29.9840018, -90.04686599999999 ]"
"[ 30.32196677, -93.28573632 ]"
"[ 32.46371788, -92.0938005 ]"
"[ 30.5597845, -93.237437 ]"
"[ 30.02021843, -90.23161397 ]"

"[ 32.47791101, -93.91701245 ]"
"[ 14.75698, -87.61053 ]"
"[ 29.953422, -90.0876023 ]"
"[ 31.349729, -92.3443087 ]"
"[ 32.85456338, -92.85152377999999 ]"
"[ 32.52191469, -92.38744087000001 ]"
"[ 32.1571449, -91.6755747 ]"
"[ 32.46371788, -92.0938005 ]"
"[ 30.5597845, -93.237437 ]"
"[ 30.7703812, -92.39762865 ]"
"[ 15.84557, -87.94320999999999 ]"
"[ 30.32194238, -93.28566748999999 ]"
"[ 31.07819439, -92.09828046 ]"
"[ 29.8541821, -89.9896703 ]"
"[ 30.5597845, -93.237437 ]"
"[ 32.58184458, -93.2759724 ]"
"[ 31.77246218, -93.64408142000001 ]"
"[ 30.01056542, -90.12993053 ]"
"[ 15.43468, -88.01124 ]"
"[ 15.46963627, -88.00228706 ]"
"[ 29.8541821, -89.9896703 ]"
"[ 29.96823058, -90.05223423 ]"
"[ 32.56277088, -92.05658982 ]"
"[ 32.85444545, -92.85159618 ]"
"[ 32.58181533, -93.27607612 ]"
"[ 30.34082304, -93.2984697 ]"
"[ 30.01366013, -90.18121137999999 ]"
"[ 32.47722325, -93.91744713 ]"
"[ 30.25361972, -91.89510253 ]"
"[ 29.8541821, -89.9896703 ]"
"[ 15.14097, -88.23139999999999 ]"
"[ 29.953422, -90.0876023 ]"
"[ 32.5626657, -92.05756868 ]"


"[ 32.56284101, -92.05650154999999 ]"
"[ 15.4865996, -88.03272389 ]"
"[ 31.3497269, -92.34430879999999 ]"
"[ 32.58787554, -92.39475890999999 ]"
"[ 30.15379662, -91.92174979000001 ]"
"[ 29.9548306, -90.06894572 ]"
"[ 14.75889, -87.61057 ]"
"[ 30.3219593, -93.28575471000001 ]"
"[ 32.46372974, -92.09379908 ]"

"[ 32.56284101, -92.05650154999999 ]"
"[ 16.11360037, -88.79961341000001 ]"
"[ 29.953422, -90.0876023 ]"
"[ 29.92602787, -90.08069711 ]"
"[ 15.49928284, -88.04179118 ]"
"[ 29.94353719, -90.117149 ]"
"[ 29.95642825, -89.98612967 ]"
"[ 30.32193223, -93.28565877 ]"
"[ 32.5689174, -92.50694317999999 ]"
"[ 32.55080827, -92.07809853000001 ]"
"[ 31.1594515, -93.31736859999999 ]"
"[ 29.9839904, -90.04686529999999 ]"
"[ 29.93191997, -89.93053093 ]"
"[ 15.49928408, -88.04178597000001 ]"
"[ 29.9124651, -90.15878732 ]"
"[ 15.5179144, -88.0318346 ]"
"[ 29.77809402, -90.80450444 ]"
"[ 30.77031184, -92.39738138 ]"
"[ 32.48020455, -93.89281984 ]"

"[ 30.6667275, -92.2759403 ]"
"[ 29.86662818, -90.11071765 ]"
"[ 31.3497345, -92.3443078 ]"
"[ 29.98498333, -90.06722764 ]"
"[ 32.54776339, -93.49237444000001 ]"
"[ 17.51433677, -88.22447997 ]"
"[ 29.96748113, -90.18774551 ]"
"[ 32.47754924, -93.91703267 ]"
"[ 31.3574203, -92.41962887 ]"

"[ 32.56284101, -92.05650154999999 ]"
"[ 32.53071, -92.03756 ]"
"[ 32.54783945, -93.49242733 ]"

"[ 30.25364349, -91.89557153 ]"

"[ 29.84749778, -90.04699816 ]"
"[ 29.875016, -92.218675 ]"
"[ 31.43104851, -91.75899498 ]"
"[ 32.56282272, -92.05661213 ]"
"[ 29.87192901, -90.01012833999999 ]"
"[ 29.89982273, -90.08976256 ]"
"[ 15.4419476, -87.90706059999999 ]"
"[ 30.37710456, -92.00621531 ]"
"[ 29.5969733, -90.6040144 ]"
"[ 29.894654, -91.08183080000001 ]"
"[ 32.55848149, -92.02148932 ]"
"[ 29.84749778, -90.04699816 ]"
"[ 15.5617657, -87.99965349999999 ]"
"[ 29.99026737, -90.14611911999999 ]"
"[ 32.48324058, -91.80632974 ]"
"[ 32.40447189, -93.61658226 ]"
"[ 29.9597573, -89.9620398 ]"
"[ 29.96848344, -90.05564959 ]"
"[ 32.53071, -92.03756 ]"
"[ 31.52863561, -93.59051596 ]"
"[ 30.82900238, -92.32255554 ]"

"[ 32.4774465, -93.91721161 ]"

"[ 29.87102495, -90.03559308 ]"
"[ 30.02021834, -90.23161321000001 ]"
"[ 29.84736095, -90.04698786 ]"
"[ 15.5037864, -88.0075672 ]"
"[ 15.84755039, -87.93211365000001 ]"
"[ 29.84736095, -90.04698786 ]"
"[ 15.54322474, -88.00989502 ]"
"[ 15.38691, -87.81241 ]"
"[ 31.77217227, -93.6444482 ]"

"[ 32.47828575, -93.91477638000001 ]"

"[ 32.42990519, -93.84905634 ]"
"[ 30.6667273, -92.2759415 ]"
"[ 32.46376159, -92.09379036 ]"

"[ 29.94116399, -90.11897989000001 ]"
"[ 29.84736095, -90.04698786 ]"

"[ 30.76443145, -92.40757945 ]"
"[ 29.9597508, -89.9618309 ]"
"[ 30.0210912, -90.1760716 ]"
"[ 31.29004168, -92.62777967 ]"
"[ 29.93424378, -90.12108464000001 ]"

"[ 15.38691, -87.81241 ]"
"[ 30.37701244, -92.00612915000001 ]"

"[ 29.956482, -90.18724899999999 ]"
"[ 29.86070049, -90.07928191000001 ]"
"[ 31.3497232, -92.34430879999999 ]"
"[ 32.42880437, -92.20255997 ]"
"[ 29.89399576, -90.21204019 ]"
"[ 32.5653435, -92.9964662 ]"
"[ 29.939251, -90.07116437000001 ]"
"[ 32.85460395, -92.85130282 ]"
"[ 30.15378212, -91.92176378000001 ]"
"[ 32.56290684, -92.05652757999999 ]"
"[ 29.95748474, -90.18663094999999 ]"
"[ 32.48322554, -91.80634071999999 ]"
"[ 31.085416, -93.25228420000001 ]"


"[ 30.36877119, -91.99189214 ]"
"[ 32.46376586, -92.0937938 ]"
"[ 32.47767791, -93.91672875 ]"
"[ 30.32195833, -93.2857577 ]"
"[ 29.84745554, -90.04695961 ]"
"[ 32.55073033, -92.07805414000001 ]"
"[ 30.0210824, -90.1760635 ]"


"[ 30.37711563, -92.00618405 ]"
"[ 30.11001754, -93.34556938999999 ]"
"[ 30.25361896, -91.89510488000001 ]"

"[ 30.3219275, -93.2856726 ]"


"[ 29.96326516, -90.10540404 ]"
"[ 29.84746763, -90.04705337 ]"
"[ 32.46377286, -92.09379849 ]"
"[ 16.929248, -89.893204 ]"
"[ 29.94001641, -90.12014978000001 ]"

"[ 29.98105103, -90.2250236 ]"
"[ 32.82856887, -92.40751791 ]"
"[ 29.98396333, -90.04675352 ]"
"[ 29.94124448, -90.11900584999999 ]"
"[ 30.6667277, -92.2759413 ]"
"[ 30.37709308, -92.0061755 ]"
"[ 32.48315999, -91.80633662 ]"
"[ 30.11022775, -93.34602049 ]"
"[ 29.87356952, -90.03182495 ]"
"[ 30.02216675, -90.23904281999999 ]"
"[ 30.1653254, -93.9647001 ]"
"[ 30.37709308, -92.0061755 ]"

"[ 31.06988721, -93.25100006 ]"

"[ 29.94006544, -90.12677633 ]"
"[ 32.8546591, -92.85129325 ]"
"[ 29.79614164, -90.79378551000001 ]"

"[ 15.46953806, -88.00145694 ]"
"[ 29.70346812, -90.47932410999999 ]"
"[ 32.48025904, -93.8927607 ]"

"[ 30.02229507, -90.23897646 ]"


"[ 32.41430584, -93.69036941 ]"
"[ 30.25357521, -91.89512397 ]"
"[ 17.51407997, -88.2245046 ]"
"[ 32.56267264, -92.05754435999999 ]"

"[ 30.02262047, -90.11127634 ]"
"[ 29.92931536, -90.08029173 ]"
"[ 29.9633784, -90.18599064999999 ]"
"[ 32.47762158, -93.91691456 ]"
"[ 29.86632364, -90.03244134000001 ]"
"[ 30.0210914, -90.1760702 ]"

"[ 30.37709647, -92.00618111999999 ]"
"[ 32.4638299, -92.09394157 ]"
"[ 30.0333405, -90.04579848 ]"
"[ 32.56228782, -92.05561621 ]"
"[ 29.98674102, -90.07014773 ]"
"[ 30.154765, -93.9702437 ]"
"[ 32.79643312, -92.40820795 ]"
"[ 29.9773104, -90.2194858 ]"

"[ 32.42880437, -92.20255997 ]"
"[ 30.01056657, -90.13001174999999 ]"
"[ 30.32194552, -93.28572247 ]"
"[ 29.84731271, -90.0470097 ]"

"[ 15.67187, -87.3364 ]"
"[ 32.61781912, -93.73409009 ]"
"[ 15.85171069, -89.7917642 ]"
"[ 32.55921009, -92.07185466999999 ]"
"[ 17.24223, -88.76468 ]"

"[ 32.48314062, -91.80631990000001 ]"

"[ 32.41409411, -93.69038838 ]"
"[ 29.646152, -90.689196 ]"
"[ 15.51196957, -88.03574742000001 ]"
"[ 29.95490655, -90.0690774 ]"
"[ 29.96807363, -90.22915646 ]"
"[ 32.55919643, -92.0718483 ]"
"[ 32.55051723, -92.07850722000001 ]"
"[ 29.96565159, -90.10782858 ]"
"[ 32.85473182, -92.85123353 ]"
"[ 29.9805905, -90.23754138 ]"


"[ 29.93350864, -90.13545861999999 ]"
"[ 32.5606617, -92.92600969999999 ]"
"[ 32.55919643, -92.0718483 ]"
"[ 32.46377642, -92.09388398999999 ]"

"[ 29.875016, -92.218675 ]"
"[ 30.37707472, -92.00616719999999 ]"
"[ 29.96558522, -90.10759078 ]"
"[ 29.95333568, -90.06505966 ]"
"[ 29.8240854, -90.0114834 ]"
"[ 14.7728, -88.77249 ]"
"[ 30.15376743, -91.92167920999999 ]"
"[ 32.57295806, -92.07697779 ]"
"[ 29.9849923, -90.06728489 ]"
"[ 32.58793137, -92.39474649 ]"
"[ 30.7653799, -92.406871 ]"
"[ 29.95822, -90.076714 ]"
"[ 30.154765, -93.9702437 ]"
"[ 29.93193267, -90.16827987000001 ]"


"[ 30.37707338, -92.00616694999999 ]"
"[ 30.01883884, -90.12605514000001 ]"
"[ 29.9494841, -90.0295593 ]"
"[ 30.02223884, -90.23900578 ]"
"[ 29.94003938, -90.12013695 ]"
"[ 30.0210868, -90.176067 ]"
"[ 30.4617208, -92.38254231000001 ]"
"[ 32.2764763, -91.7150599 ]"
"[ 29.92352142, -90.08732788 ]"




"[ 30.37707338, -92.00616694999999 ]"
"[ 29.8945968, -91.0817942 ]"

"[ 29.94749774, -90.06357908 ]"
"[ 30.03239233, -90.01708823 ]"
"[ 30.5115139, -92.3373453 ]"
"[ 31.6716999, -93.5971727 ]"
"[ 29.90457997, -90.06866434 ]"
"[ 30.0210486, -90.1760546 ]"


"[ 30.01883884, -90.12605514000001 ]"
"[ 29.9838145, -90.2026631 ]"
"[ 30.7653799, -92.406871 ]"


"[ 31.77224259, -93.64432418 ]"
"[ 30.03336236, -90.04623277 ]"
"[ 31.3497254, -92.34430879999999 ]"
"[ 29.96807363, -90.22915646 ]"
"[ 31.52864726, -93.59052661 ]"
"[ 15.78923138, -86.78629179000001 ]"
"[ 29.9838145, -90.2026631 ]"
"[ 29.70379072, -90.47921710999999 ]"
"[ 30.46174234, -92.38252136 ]"
"[ 29.99164708, -90.22473222000001 ]"
"[ 31.1394509, -93.2381554 ]"
"[ 29.70379072, -90.47921710999999 ]"
"[ 32.58777307, -92.39473556999999 ]"

"[ 30.0290795, -90.23785669999999 ]"
"[ 30.37707833, -92.00616553 ]"
"[ 30.02685073, -90.22449759 ]"
"[ 29.98497503, -90.06723099 ]"
"[ 32.46379264, -92.0938352 ]"
"[ 14.85347962, -90.07171359 ]"
"[ 29.655849, -90.690506 ]"
"[ 30.07354044, -91.2934721 ]"

"[ 32.59626855, -93.8447675 ]"
"[ 30.34777709, -93.2086114 ]"
"[ 29.95810619, -90.06623956 ]"
"[ 29.5969782, -90.6040148 ]"
"[ 29.98497503, -90.06723099 ]"

"[ 30.32402768, -93.26599330000001 ]"
"[ 29.6916218, -90.76686979999999 ]"
"[ 29.70337356, -90.47948527 ]"
"[ 30.03333332, -90.04585407 ]"

"[ 30.7653799, -92.406871 ]"
"[ 32.5308263, -92.03823919 ]"
"[ 31.61013329, -93.41420717 ]"
"[ 31.77213635, -93.64426625999999 ]"
"[ 29.990213, -90.14600965 ]"

"[ 29.70385538, -90.47914788 ]"
"[ 32.56473257, -92.25262642 ]"
"[ 15.4409327, -87.92812429999999 ]"

"[ 29.8945965, -91.0817943 ]"
"[ 31.1594167, -93.31730229999999 ]"

"[ 29.9495272, -90.0295818 ]"
"[ 32.5479275, -93.4923565 ]"
"[ 30.31814452, -92.03235633 ]"
"[ 29.97709032, -90.09109266 ]"
"[ 30.0302417, -90.02011435 ]"
"[ 32.42879551, -92.20258945 ]"
"[ 30.13365684, -93.25792884000001 ]"
"[ 30.02225516, -90.23898066 ]"
"[ 31.06163987, -93.24599019 ]"
"[ 30.00909996, -90.20486832 ]"

"[ 30.4738349, -92.34443041 ]"

"[ 32.42896479, -92.20289348999999 ]"
"[ 15.50646215, -88.03065132 ]"
