geo.coordinates
"[ 30.68092341, -92.24038852 ]"
"[ 30.67541545, -92.42812176 ]"
"[ 31.038997, -93.9820615 ]"
"[ 31.79502524, -93.09243069999999 ]"

"[ 29.96186067, -90.16824479 ]"
"[ 29.95210478, -90.06951136000001 ]"
"[ 31.40431209, -92.48631231 ]"
"[ 31.79491249, -93.09243703999999 ]"
"[ 32.56292652, -92.05664997 ]"

"[ 29.9614315, -90.06757355000001 ]"
"[ 30.00296297, -90.20601436 ]"
"[ 32.42882869, -92.20259656 ]"
"[ 32.53050733, -92.22051153 ]"
"[ 30.67541545, -92.42812176 ]"
"[ 32.56288609, -92.05658998 ]"
"[ 29.8239248, -90.0082637 ]"
"[ 32.25807896, -92.69840124 ]"
"[ 32.4288048, -92.20256046999999 ]"
"[ 30.31782603, -91.90253475 ]"
"[ 29.93943596, -90.12408320999999 ]"
"[ 30.69388045, -92.25847414 ]"
"[ 14.96930093, -89.53976252 ]"
"[ 29.8499012, -90.96748352 ]"
"[ 31.79513345, -93.09244758 ]"
"[ 29.9397484, -90.12007109 ]"

"[ 29.93671256, -90.12025025 ]"
"[ 29.99514011, -90.18930689 ]"
"[ 30.29273327, -93.08202969 ]"
"[ 30.31785927, -91.90251943 ]"
"[ 29.807897, -91.48230599999999 ]"
"[ 30.00172953, -90.1250642 ]"

"[ 29.8888945, -90.089764 ]"
"[ 15.77218488, -86.79591477 ]"

"[ 27.7787796, -93.30962217 ]"

"[ 30.69521106, -92.26857094 ]"
"[ 32.44709426, -92.09284631 ]"
"[ 32.56280522, -92.05663269999999 ]"
"[ 32.56630361, -92.92458951 ]"

"[ 30.01385987, -90.13135314 ]"
"[ 30.02109576, -90.11196784000001 ]"
"[ 31.51635183, -93.46241809999999 ]"
"[ 32.56280522, -92.05663269999999 ]"
"[ 29.9839291, -91.89184903 ]"


"[ 29.91222682, -90.15855401 ]"
"[ 29.36393088, -90.29011085 ]"
"[ 31.51635183, -93.46241809999999 ]"
"[ 29.88886343, -90.08985194 ]"
"[ 32.56280522, -92.05663269999999 ]"
"[ 29.95825231, -90.06128848 ]"
"[ 31.3497275, -92.344308 ]"
"[ 32.56280522, -92.05663269999999 ]"
"[ 29.88832934, -90.0311851 ]"
"[ 15.54326, -88.01281 ]"
"[ 32.560274, -92.89606154000001 ]"
"[ 32.36026644, -93.73592911 ]"
"[ 30.23642376, -93.16358829000001 ]"
"[ 17.5362773, -88.30856899 ]"
"[ 30.02110858, -90.27355229 ]"
"[ 14.98580754, -87.88765848 ]"

"[ 15.67333824, -87.93746125 ]"
"[ 29.98381701, -91.89178273 ]"
